id,alias,name,image_url,url,review_count,categories,rating,transactions,price,location,phone,latitude,longitude,address
M0JTO3oyu6gxh1mfFjU-dA,san-tung-san-francisco-2,San Tung,https://s3-media4.fl.yelpcdn.com/bphoto/LTtoZ25m8FX1UV37asnTCw/o.jpg,https://www.yelp.com/biz/san-tung-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,6647,chinese;chicken_wings;noodles;,4,,$$,[object Object],+14152420828,37.763693,-122.469008,"1031 Irving St,San Francisco, CA 94122"
ttarnopezxmp2ROB1N2PaA,nopa-san-francisco,Nopa,https://s3-media3.fl.yelpcdn.com/bphoto/Li0xXDEM78GMG1xCYgYYaA/o.jpg,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4995,newamerican;modern_european;desserts;,4,,$$$,[object Object],+14158648643,37.77483,-122.43746,"560 Divisadero St,San Francisco, CA 94117"
2XQm-uFcTS7oc8MFP-8olA,b-patisserie-san-francisco-2,B Patisserie,https://s3-media3.fl.yelpcdn.com/bphoto/9FaO-VNIDTfFkstW9quCMA/o.jpg,https://www.yelp.com/biz/b-patisserie-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2399,bakeries;cakeshop;macarons;,4.5,,$$,[object Object],+14154401700,37.78783,-122.44073,"2821 California St,San Francisco, CA 94115"
SGRmnarrNuVEsAjYdEoA0w,el-farolito-san-francisco-2,El Farolito,https://s3-media1.fl.yelpcdn.com/bphoto/gcC2Uwtu5raP13D3jWYm0Q/o.jpg,https://www.yelp.com/biz/el-farolito-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4777,mexican;,4,,$,[object Object],+14158247877,37.75265,-122.41812,"2779 Mission St,San Francisco, CA 94110"
f-m7-hyFzkf0HSEeQ2s-9A,fog-harbor-fish-house-san-francisco-2,Fog Harbor Fish House,https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,5610,seafood;bars;,4,restaurant_reservation,$$,[object Object],+14154212442,37.809041,-122.410233,"Pier 39,Ste A-202,San Francisco, CA 94133"
gqVl3RprESEqkIPeJH0yOg,zazie-san-francisco,Zazie,https://s3-media4.fl.yelpcdn.com/bphoto/_JBubnL5rMAiU5D0Uos9zQ/o.jpg,https://www.yelp.com/biz/zazie-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,4282,breakfast_brunch;french;,4,restaurant_reservation,$$,[object Object],+14155645332,37.765244,-122.4501138,"941 Cole St,San Francisco, CA 94117"
hqQoVK0vadOX7_4gN1sh3g,saigon-sandwich-san-francisco,Saigon Sandwich,https://s3-media3.fl.yelpcdn.com/bphoto/lE_HHijKAKt08JIeRHVh7w/o.jpg,https://www.yelp.com/biz/saigon-sandwich-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3192,vietnamese;sandwiches;,4.5,,$,[object Object],+14154745698,37.7831519576568,-122.417318022037,"560 Larkin St,San Francisco, CA 94102"
PTFxtXS47ZVRCdZIrEWvGw,golden-boy-pizza-san-francisco,Golden Boy Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg,https://www.yelp.com/biz/golden-boy-pizza-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3382,pizza;italian;,4.5,,$,[object Object],+14159829738,37.7997956,-122.4080729,"542 Green St,San Francisco, CA 94133"
-DrR38H1Abk0wCyu9XOLug,sweet-maple-san-francisco,Sweet Maple,https://s3-media1.fl.yelpcdn.com/bphoto/LElE7KG2v6y_OR1W05o-1Q/o.jpg,https://www.yelp.com/biz/sweet-maple-san-francisco?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,3491,tradamerican;breakfast_brunch;sandwiches;,4,pickup,$$,[object Object],+14156559169,37.785735681426,-122.43507770852,"2101 Sutter St,San Francisco, CA 94115"
KkAVX3Wb7E3lP5F_f_8pXg,liholiho-yacht-club-san-francisco-2,Liholiho Yacht Club,https://s3-media3.fl.yelpcdn.com/bphoto/FK2X98w6z5naJyiQjsGTNA/o.jpg,https://www.yelp.com/biz/liholiho-yacht-club-san-francisco-2?adjust_creative=g_McZ7E3oQ1E479w37Wdag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g_McZ7E3oQ1E479w37Wdag,2229,bars;newamerican;seafood;,4.5,restaurant_reservation,$$$,[object Object],+14154405446,37.78818,-122.41458,"871 Sutter St,San Francisco, CA 94109"
